id;numero    SecuriteSociale;nom;prenom
124;246510326165952;Seskis;Denis
125;266997556101618;Levy;Arthur
126;114404660943770;de Balzac;Honoré
127;214774454681349;d' Aillon;Fred
128;154728337057310;Paris;S.J.
129;124065556546438;J. Ellory;Terry
130;189719288744745;Kerr;Harlan
131;140737835588062;Twain;Bernard
132;172487457745227;K. Rowling;R.
133;184645861758579;K. Rowling;Pierre
134;151586162981595;Proust;Louis
135;206865019822839;Austen;Jo
136;249063456092678;Roberts;Fred
137;171594849003340;Louis;Terry
138;163072267058083;Wilde;Fred
